date,B.1.617.2,BA.1,BA.1.1,BA.2,BA.3,B.1.617.2,Sum,Other
2022-03-14,0,143,544,3318,3,0,4028,20
2022-03-15,1,138,543,3101,0,3800,3800,-3783
2022-03-16,0,144,541,3113,0,0,3823,25
2022-03-17,0,84,416,2312,0,0,2829,17
2022-03-18,1,71,304,1921,0,2310,2310,-2297
2022-03-19,0,49,197,1478,0,0,1733,9
2022-03-20,0,13,98,966,0,0,1082,5
2022-03-21,0,85,315,2927,1,0,3338,10
2022-03-22,1,81,326,2953,1,3372,3372,-3362
2022-03-23,0,40,198,2303,0,0,2552,11
2022-03-24,1,52,243,1879,0,2188,2188,-2175
2022-03-25,0,25,101,1136,1,0,1266,3
2022-03-26,1,18,97,1058,0,1175,1175,-1174
2022-03-27,0,10,57,840,0,0,915,8
2022-03-28,0,27,142,2109,1,0,2286,7
2022-03-29,0,34,125,1976,0,0,2139,4
2022-03-30,0,32,147,2037,0,0,2218,2
2022-03-31,0,14,60,954,0,0,1033,5
2022-04-01,0,5,40,563,0,0,612,4
2022-04-02,0,1,2,151,0,0,154,0
2022-04-03,0,0,6,130,0,0,136,0
2022-04-04,0,2,18,261,0,0,283,2
2022-04-05,0,4,17,400,0,0,421,0
2022-04-06,0,3,18,288,0,0,309,0
2022-04-09,5,0,0,0,0,5,5,-5
